"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","Fortnite","Fortnite","3223892940","263997240","595541","11303","502688","72317","5921","12.21","Fortnite"
"2","League of Legends","League of Legends","5979472140","177201900","349964","8083","237426","134129","3974","33.74","League of Legends"
"3","Just Chatting","Just Chatting","5302698120","84589200","631876","2959","214185","118947","1897","62.69","Just Chatting"
"4","Apex Legends","Apex Legends","825465720","76248900","41996","3193","132964","18516","1710","10.83","Apex Legends"
"5","Counter-Strike: Global Offensive","Counter-Strike: Global Offensive","2033597160","73060680","257488","3371","168202","45616","1638","27.83","Counter-Strike: Global Offensive"
"6","Escape from Tarkov","Escape from Tarkov","4341378480","62581680","287491","2376","60579","97383","1403","69.37","Escape from Tarkov"
"7","Tom Clancy's Rainbow Six Siege","Tom Clancy's Rainbow Six Siege","705857640","59017740","54126","2483","138979","15833","1323","11.96","Tom Clancy's Rainbow Six Siege"
"8","World of Warcraft","World of Warcraft","1653790860","56441220","167799","4077","59799","37097","1266","29.3","World of Warcraft"
"9","Grand Theft Auto V","Grand Theft Auto V","2558810400","56182020","157557","2520","110069","57398","1260","45.55","Grand Theft Auto V"
"10","PUBG: BATTLEGROUNDS","PUBG: BATTLEGROUNDS","1138423980","51386340","65714","1831","78410","25536","1152","22.15","PUBG: BATTLEGROUNDS"
"11","Minecraft","Minecraft","1122464220","50574840","181623","2151","142141","25178","1134","22.19","Minecraft"
"12","Call of Duty: Warzone","Call of Duty: Warzone","541663380","49489980","85708","2482","166150","12150","1110","10.94","Call of Duty: Warzone"
"13","Overwatch","Overwatch","868572240","49034100","53847","1706","91877","19483","1099","17.71","Overwatch"
"14","Dead by Daylight","Dead by Daylight","613389420","31541040","30565","1219","50373","13759","707","19.45","Dead by Daylight"
"15","Dota 2","Dota 2","2641512480","26521440","364279","1055","30616","59253","594","99.6","Dota 2"
"16","Destiny 2","Destiny 2","402547020","25009080","157168","1027","41292","9029","560","16.1","Destiny 2"
"17","Rocket League","Rocket League","340761960","22753260","54967","953","75446","7643","510","14.98","Rocket League"
"18","FIFA 20","FIFA 20","1427251320","21285660","365896","1693","49934","32015","477","67.05","FIFA 20"
"19","Music","Music","309927300","20520300","49122","632","15975","6952","460","15.1","Music"
"20","Monster Hunter: World","Monster Hunter: World","552132840","19189560","66169","1196","25265","12385","430","28.77","Monster Hunter: World"
"21","Call of Duty: Black Ops 4","Call of Duty: Black Ops 4","217005300","18836940","62175","741","26881","4867","422","11.52","Call of Duty: Black Ops 4"
"22","Art","Art","271917720","18392460","14820","625","33743","6099","412","14.78","Art"
"23","Path of Exile","Path of Exile","877784040","16971300","52746","697","17101","19690","380","51.72","Path of Exile"
"24","DRAGON BALL Z: KAKAROT","DRAGON BALL Z: KAKAROT","549710580","14738280","115615","2157","29163","12330","330","37.3","DRAGON BALL Z: KAKAROT"
"25","NBA 2K20","NBA 2K20","175041960","13789800","16345","682","30278","3926","309","12.69","NBA 2K20"
"26","The Witcher 3: Wild Hunt","The Witcher 3: Wild Hunt","376978140","13433700","40643","700","30165","8456","301","28.06","The Witcher 3: Wild Hunt"
"27","Teamfight Tactics","Teamfight Tactics","538745220","12004920","28666","525","28138","12084","269","44.88","Teamfight Tactics"
"28","Pokémon Sword/Shield","Pokémon Sword/Shield","279455160","11326320","34159","539","15243","6268","254","24.67","Pokémon Sword/Shield"
